date,disease,references,notes,Metric_Type,Source_File,number of patients
01-2004,Alcohol consumption,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_LVNG@DF_HEALTH_LVNG_AC,1.0",441.8
01-2004,Annual income,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_REMUN,1.1",49923462.12
01-2004,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_EMP_REAC@DF_PHYS,1.1",11169311.81
01-2004,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_DNST,1.1",1110449.48
01-2004,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_MIDWIFE,1.1",390822.82
01-2004,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_NURSE,1.1",41142593.44
01-2004,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PHST,1.1",1183253.39
01-2004,Health and social employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_PSIO,1.1",482914.04
01-2004,Hospital employment,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_EMP@DF_HOSP_EMP,1.1",43010227.410000004
01-2004,Hospitals,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1/all?startPeriod=2004&endPeriod=2026&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","Imported from OECD API dataset OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",NoP,"OECD_OECD.ELS.HD,DSD_HEALTH_REAC_HOSP@DF_HOSP,1.1",82214.95
